station,latitude,longitude,start,tripdurationS,end,tripdurationE,month
York St,40.71649,-74.04105,555,554,572,584,Sep
Newark Ave,40.72152515,-74.04630454,1175,452,1250,502,Sep
Montgomery St,40.71942,-74.05099,670,638,672,590,Sep
Hoboken Ave at Monmouth St,40.73520838,-74.04696375,620,933.5,628,935,Sep
Manila & 1st,40.72165072,-74.04288411,656,438.5,733,445,Sep
Dey St,40.737711,-74.066921,278,784.5,283,599,Sep
Oakland Ave,40.7376037,-74.0524783,366,641.5,245,876,Sep
Jackson Square,40.71113,-74.0789,199,976,193,1029,Sep
5 Corners Library,40.73496102,-74.05950308,324,792,290,834,Sep
Riverview Park,40.7443187,-74.0439909,310,998.5,274,1114.5,Sep
Leonard Gordon Park,40.74590997,-74.05727148,156,896.5,126,1130.5,Sep
Grove St PATH,40.71958612,-74.04311746,2146,318,2352,357,Oct
Manila & 1st,40.72165072,-74.04288411,416,367.5,424,393.5,Oct
Newport Pkwy,40.7287448,-74.0321082,1829,930,1837,909,Oct
Sip Ave,40.7308971,-74.06391263,1216,469.5,1067,419,Oct
Washington St,40.7242941,-74.0354826,824,633,838,644.5,Oct
Pershing Field,40.74267714,-74.05178863,256,778.5,243,1007,Oct
JC Medical Center,40.71653978,-74.04963791,1095,679,1063,887,Oct
Warren St,40.7211236,-74.03805095,945,455,968,417,Oct
Hilltop,40.7311689,-74.0575736,308,658.5,233,800,Oct
Astor Place,40.7192822,-74.07126188,291,544,292,503.5,Oct
Union St,40.7182113,-74.0836394,113,1271,116,1450,Oct
Heights Elevator,40.74871595,-74.0404433,311,1058,282,1205.5,Oct
Harborside,40.7192517,-74.034234,985,472,998,458,Oct
Communipaw & Berry Lane,40.71435837,-74.06661093,240,789.5,248,808,Oct
Liberty Light Rail,40.7112423,-74.0557013,1303,1124,1306,1317,Oct
Morris Canal,40.71241882,-74.03852552,851,605,850,679,Oct
Bergen Ave,40.72210379,-74.071455,302,444.5,252,428,Oct
Jersey & 6th St,40.72528911,-74.04557168,465,349,486,358,Oct
Oakland Ave,40.7376037,-74.0524783,179,471,123,641,Oct
Jackson Square,40.71113,-74.0789,114,872.5,126,909.5,Oct
Fairmount Ave,40.72572614,-74.07195926,358,542,315,444,Oct
Baldwin at Montgomery,40.7236589,-74.0641943,494,604,445,658,Oct
Hamilton Park,40.72759597,-74.04424731,1285,539,1338,519.5,Oct
McGinley Square,40.72533993,-74.06762213,526,359,377,372,Oct
Brunswick St,40.7241765,-74.0506564,494,451,496,462.5,Oct
Montgomery St,40.71942,-74.05099,358,618,363,565,Oct
Marin Light Rail,40.71458404,-74.04281706,1131,499,1148,561,Oct
Essex Light Rail,40.7127742,-74.0364857,464,545,469,588,Oct
Dixon Mills,40.72163014,-74.04996783,437,411,443,443,Oct
Brunswick & 6th,40.72601173,-74.05038893,468,429.5,482,442.5,Oct
Lafayette Park,40.71346383,-74.06285852,367,654,396,700.5,Oct
Van Vorst Park,40.71848892,-74.04772663,650,526.5,691,559,Oct
Jersey & 3rd,40.72333159,-74.04595256,479,295,493,384,Oct
Newport PATH,40.7272235,-74.0337589,1416,549,1441,559,Oct
Christ Hospital,40.73478582,-74.05044364,151,594,132,696,Oct
Monmouth and 6th,40.72568548,-74.04879034,448,391.5,455,389,Oct
Columbus Dr at Exchange Pl,40.71687,-74.03281,1017,572,1045,558,Oct
Paulus Hook,40.7141454,-74.0335519,640,617,668,626,Oct
Newark Ave,40.72152515,-74.04630454,654,473.5,691,478,Oct
Glenwood Ave,40.72755147,-74.07106072,169,706,149,808,Oct
Lincoln Park,40.7246051,-74.07840595,381,1084,394,1069.5,Oct
Dey St,40.737711,-74.066921,140,563.5,137,403,Oct
Columbus Drive,40.7183552,-74.03891444,679,437,680,446.5,Oct
Journal Square,40.73367,-74.0625,235,540,195,415,Oct
Leonard Gordon Park,40.74590997,-74.05727148,88,962,89,723,Oct
City Hall,40.7177325,-74.043845,910,535.5,994,509,Oct
York St,40.71649,-74.04105,294,493,309,524,Oct
Grand St,40.71517768,-74.03768331,517,508,513,533,Oct
Hoboken Ave at Monmouth St,40.73520838,-74.04696375,277,969,298,868.5,Oct
5 Corners Library,40.73496102,-74.05950308,187,780,157,821,Oct
Riverview Park,40.7443187,-74.0439909,183,973,151,1176,Oct
Columbus Drive,40.7183552,-74.03891444,483,422,477,421,Nov
Grand St,40.71517768,-74.03768331,431,512,412,532.5,Nov
Hamilton Park,40.72759597,-74.04424731,858,516,906,473,Nov
Lafayette Park,40.71346383,-74.06285852,268,634.5,277,648,Nov
City Hall,40.7177325,-74.043845,663,509,712,511,Nov
Bergen Ave,40.72210379,-74.071455,218,491.5,207,527,Nov
Newport PATH,40.7272235,-74.0337589,952,552.5,970,551,Nov
Hilltop,40.7311689,-74.0575736,134,622.5,121,698,Nov
McGinley Square,40.72533993,-74.06762213,348,338.5,302,362.5,Nov
Manila & 1st,40.72165072,-74.04288411,374,402,411,413,Nov
Van Vorst Park,40.71848892,-74.04772663,494,457.5,516,575,Nov
Washington St,40.7242941,-74.0354826,601,623,645,672,Nov
Jackson Square,40.71113,-74.0789,105,1035,105,1148,Nov
Newport Pkwy,40.7287448,-74.0321082,1240,857,1246,882.5,Nov
Marin Light Rail,40.71458404,-74.04281706,916,584.5,900,605.5,Nov
Columbus Dr at Exchange Pl,40.71687,-74.03281,617,643,627,652,Nov
JC Medical Center,40.71653978,-74.04963791,773,723,789,876,Nov
Essex Light Rail,40.7127742,-74.0364857,265,580,273,565,Nov
Lincoln Park,40.7246051,-74.07840595,225,1022,209,1021,Nov
Fairmount Ave,40.72572614,-74.07195926,261,517,208,430,Nov
Newark Ave,40.72152515,-74.04630454,444,391,460,409,Nov
Baldwin at Montgomery,40.7236589,-74.0641943,344,539.5,328,627,Nov
Sip Ave,40.7308971,-74.06391263,882,473,779,412,Nov
5 Corners Library,40.73496102,-74.05950308,104,736,83,910,Nov
Brunswick St,40.7241765,-74.0506564,464,388,454,426.5,Nov
Liberty Light Rail,40.7112423,-74.0557013,983,1391,996,1435.5,Nov
Warren St,40.7211236,-74.03805095,645,466,643,411,Nov
Jersey & 6th St,40.72528911,-74.04557168,388,352,389,398,Nov
Morris Canal,40.71241882,-74.03852552,559,643,552,677.5,Nov
Paulus Hook,40.7141454,-74.0335519,477,632,505,612,Nov
Pershing Field,40.74267714,-74.05178863,179,748,173,992,Nov
Astor Place,40.7192822,-74.07126188,214,563,214,600.5,Nov
Jersey & 3rd,40.72333159,-74.04595256,388,313.5,403,406,Nov
Dixon Mills,40.72163014,-74.04996783,250,397.5,252,437.5,Nov
Montgomery St,40.71942,-74.05099,270,491.5,273,543,Nov
York St,40.71649,-74.04105,241,502,248,459.5,Nov
Brunswick & 6th,40.72601173,-74.05038893,366,430,358,385,Nov
Heights Elevator,40.74871595,-74.0404433,173,1070,166,1219.5,Nov
Riverview Park,40.7443187,-74.0439909,104,972,91,1146,Nov
Communipaw & Berry Lane,40.71435837,-74.06661093,162,750,167,800,Nov
Journal Square,40.73367,-74.0625,129,532,124,487.5,Nov
Monmouth and 6th,40.72568548,-74.04879034,309,390,306,389,Nov
Glenwood Ave,40.72755147,-74.07106072,119,635,110,903.5,Nov
Hoboken Ave at Monmouth St,40.73520838,-74.04696375,231,963,199,1011,Nov
Oakland Ave,40.7376037,-74.0524783,116,547,84,541,Nov
Christ Hospital,40.73478582,-74.05044364,91,648,77,561,Nov
Harborside,40.7192517,-74.034234,654,447.5,646,456,Nov
Grove St PATH,40.71958612,-74.04311746,1582,359,1707,359,Nov
Dey St,40.737711,-74.066921,73,766,74,551.5,Nov
Leonard Gordon Park,40.74590997,-74.05727148,32,876,24,851.5,Nov
Union St,40.7182113,-74.0836394,76,1191,61,1244,Nov
Newport PATH,40.7272235,-74.0337589,355,481,373,426,Dec
Journal Square,40.73367,-74.0625,134,514.5,110,502.5,Dec
Grove St PATH,40.71958612,-74.04311746,776,323.5,933,312,Dec
Christ Hospital,40.73478582,-74.05044364,64,567,46,630.5,Dec
McGinley Square,40.72533993,-74.06762213,222,306,203,334,Dec
Paulus Hook,40.7141454,-74.0335519,227,615,219,564,Dec
Newport Pkwy,40.7287448,-74.0321082,721,781,743,753,Dec
Fairmount Ave,40.72572614,-74.07195926,215,428,153,393,Dec
Bergen Ave,40.72210379,-74.071455,121,534,115,500,Dec
Hilltop,40.7311689,-74.0575736,112,629.5,80,693.5,Dec
Sip Ave,40.7308971,-74.06391263,607,438,511,393,Dec
Jersey & 6th St,40.72528911,-74.04557168,235,289,220,340.5,Dec
Dixon Mills,40.72163014,-74.04996783,176,348.5,147,383,Dec
Hamilton Park,40.72759597,-74.04424731,445,455,456,480.5,Dec
Warren St,40.7211236,-74.03805095,385,405,411,405,Dec
Grand St,40.71517768,-74.03768331,218,458.5,223,555,Dec
Glenwood Ave,40.72755147,-74.07106072,96,893,85,1011,Dec
Morris Canal,40.71241882,-74.03852552,315,520,308,561,Dec
Lafayette Park,40.71346383,-74.06285852,152,561,162,644.5,Dec
Monmouth and 6th,40.72568548,-74.04879034,131,386,120,465.5,Dec
Brunswick & 6th,40.72601173,-74.05038893,239,406,218,383.5,Dec
Marin Light Rail,40.71458404,-74.04281706,489,457,475,504,Dec
Brunswick St,40.7241765,-74.0506564,284,331,263,367,Dec
Van Vorst Park,40.71848892,-74.04772663,232,421.5,247,468,Dec
JC Medical Center,40.71653978,-74.04963791,374,458.5,396,522.5,Dec
Essex Light Rail,40.7127742,-74.0364857,154,486.5,154,474,Dec
Columbus Drive,40.7183552,-74.03891444,256,412,274,401.5,Dec
Washington St,40.7242941,-74.0354826,350,501,400,543.5,Dec
Dey St,40.737711,-74.066921,39,452,49,268,Dec
Liberty Light Rail,40.7112423,-74.0557013,300,825.5,314,803.5,Dec
Lincoln Park,40.7246051,-74.07840595,98,753.5,94,770.5,Dec
Manila & 1st,40.72165072,-74.04288411,246,322,263,333,Dec
Astor Place,40.7192822,-74.07126188,150,562,147,572,Dec
Columbus Dr at Exchange Pl,40.71687,-74.03281,343,448,357,398,Dec
Jersey & 3rd,40.72333159,-74.04595256,254,304.5,263,350,Dec
Harborside,40.7192517,-74.034234,391,405,379,449,Dec
Newark Ave,40.72152515,-74.04630454,232,339.5,253,419,Dec
Pershing Field,40.74267714,-74.05178863,158,813,127,902,Dec
Baldwin at Montgomery,40.7236589,-74.0641943,232,624,227,497,Dec
Union St,40.7182113,-74.0836394,32,1149.5,37,1300,Dec
5 Corners Library,40.73496102,-74.05950308,52,595,25,801,Dec
City Hall,40.7177325,-74.043845,352,440,394,442.5,Dec
Leonard Gordon Park,40.74590997,-74.05727148,16,587,17,549,Dec
Hoboken Ave at Monmouth St,40.73520838,-74.04696375,98,968.5,99,838,Dec
York St,40.71649,-74.04105,112,478,139,455,Dec
Oakland Ave,40.7376037,-74.0524783,83,416,51,486,Dec
Montgomery St,40.71942,-74.05099,142,615,152,573.5,Dec
Jackson Square,40.71113,-74.0789,46,1130,48,1392.5,Dec
Communipaw & Berry Lane,40.71435837,-74.06661093,78,654,80,786.5,Dec
Riverview Park,40.7443187,-74.0439909,70,1025.5,60,831.5,Dec
Heights Elevator,40.74871595,-74.0404433,85,1136,66,1221,Dec
