station,latitude,longitude,start,tripdurationS,end,tripdurationE,month
Leonard Gordon Park,40.74590997,-74.05727148,71,778,60,830,Mar
York St,40.71649,-74.04105,140,345.5,161,452,Mar
Fairmount Ave,40.72572614,-74.07195926,124,745,121,723,Apr
Oakland Ave,40.7376037,-74.0524783,90,572,66,579,Apr
Sip Ave,40.7308971,-74.06391263,525,450,479,399,Apr
Lincoln Park,40.7246051,-74.07840595,95,972,105,1326,Apr
Newark Ave,40.72152515,-74.04630454,205,440,220,478,Apr
Morris Canal,40.71241882,-74.03852552,322,1379.5,337,1379,Apr
Paulus Hook,40.7141454,-74.0335519,277,1205,277,1215,Apr
Hamilton Park,40.72759597,-74.04424731,348,648,367,680,Apr
Monmouth and 6th,40.72568548,-74.04879034,147,618,135,595,Apr
Bergen Ave,40.72210379,-74.071455,231,376,227,355,Apr
Pershing Field,40.74267714,-74.05178863,159,1107,152,1363,Apr
Harborside,40.7192517,-74.034234,370,990,353,837,Apr
City Hall,40.7177325,-74.043845,225,811,245,800,Apr
Glenwood Ave,40.72755147,-74.07106072,78,1150,77,1267,Apr
Hilltop,40.7311689,-74.0575736,136,717.5,110,685,Apr
Marin Light Rail,40.71458404,-74.04281706,416,1237.5,404,990.5,Apr
Christ Hospital,40.73478582,-74.05044364,96,513.5,62,722.5,Apr
Jackson Square,40.71113,-74.0789,63,857,56,1048,Apr
Van Vorst Park,40.71848892,-74.04772663,217,790,225,807,Apr
Liberty Light Rail,40.7112423,-74.0557013,347,1656,360,1688.5,Apr
Essex Light Rail,40.7127742,-74.0364857,128,761,133,750,Apr
Jersey & 6th St,40.72528911,-74.04557168,112,805,120,956,Apr
Grand St,40.71517768,-74.03768331,110,674.5,127,855,Apr
York St,40.71649,-74.04105,90,1144.5,95,747,Apr
Union St,40.7182113,-74.0836394,64,918.5,71,760,Apr
Newport Pkwy,40.7287448,-74.0321082,682,1108.5,663,1251,Apr
Grove St PATH,40.71958612,-74.04311746,328,433,424,516.5,Apr
Baldwin at Montgomery,40.7236589,-74.0641943,172,611.5,162,707.5,Apr
Hoboken Ave at Monmouth St,40.73520838,-74.04696375,147,1916,144,1998,Apr
Lafayette Park,40.71346383,-74.06285852,31,626,38,824.5,Apr
Brunswick & 6th,40.72601173,-74.05038893,125,705,134,767.5,Apr
Columbus Dr at Exchange Pl,40.71687,-74.03281,240,1000.5,246,921,Apr
JC Medical Center,40.71653978,-74.04963791,258,880,254,910,Apr
Warren St,40.7211236,-74.03805095,239,780,240,762.5,Apr
Dey St,40.737711,-74.066921,62,1336.5,50,1253.5,Apr
Columbus Drive,40.7183552,-74.03891444,244,897,235,895,Apr
Dixon Mills,40.72163014,-74.04996783,122,536.5,117,520,Apr
Manila & 1st,40.72165072,-74.04288411,112,542.5,124,686.5,Apr
Jersey & 3rd,40.72333159,-74.04595256,114,441.5,116,457.5,Apr
Brunswick St,40.7241765,-74.0506564,112,1351,115,955,Apr
Montgomery St,40.71942,-74.05099,176,680,188,526.5,Apr
McGinley Square,40.72533993,-74.06762213,214,384.5,175,534,Apr
Newport PATH,40.7272235,-74.0337589,263,853,261,787,Apr
Washington St,40.7242941,-74.0354826,248,1207.5,242,1406,Apr
Riverview Park,40.7443187,-74.0439909,54,1309.5,53,1437,Apr
Astor Place,40.7192822,-74.07126188,100,488.5,105,457,Apr
Heights Elevator,40.74871595,-74.0404433,80,1747,90,2013.5,Apr
Journal Square,40.73367,-74.0625,76,450,57,346,Apr
Leonard Gordon Park,40.74590997,-74.05727148,21,914,22,1260,Apr
5 Corners Library,40.73496102,-74.05950308,35,475,28,655,Apr
Communipaw & Berry Lane,40.71435837,-74.06661093,38,1267.5,60,780.5,Apr
Sip Ave,40.7308971,-74.06391263,597,555,582,404.5,May
Columbus Dr at Exchange Pl,40.71687,-74.03281,910,1266,926,1342,May
Montgomery St,40.71942,-74.05099,320,774.5,325,620,May
Monmouth and 6th,40.72568548,-74.04879034,264,1010.5,262,564.5,May
McGinley Square,40.72533993,-74.06762213,301,671,257,865,May
Brunswick St,40.7241765,-74.0506564,320,1006,293,1137,May
Fairmount Ave,40.72572614,-74.07195926,213,737,195,573,May
Dixon Mills,40.72163014,-74.04996783,300,780,295,582,May
Morris Canal,40.71241882,-74.03852552,752,1572.5,759,1476,May
Newark Ave,40.72152515,-74.04630454,587,799,596,775.5,May
Oakland Ave,40.7376037,-74.0524783,126,693,93,941,May
Hamilton Park,40.72759597,-74.04424731,996,1135.5,1021,876,May
Harborside,40.7192517,-74.034234,937,1323,923,1210,May
Columbus Drive,40.7183552,-74.03891444,541,1179,556,969,May
Bergen Ave,40.72210379,-74.071455,264,417,255,472,May
Grove St PATH,40.71958612,-74.04311746,1061,830,1108,784,May
JC Medical Center,40.71653978,-74.04963791,1068,1555.5,1075,1966,May
Hilltop,40.7311689,-74.0575736,247,983,219,923,May
Marin Light Rail,40.71458404,-74.04281706,1032,1413.5,1027,1459,May
Newport Pkwy,40.7287448,-74.0321082,1729,1547,1742,1550,May
Christ Hospital,40.73478582,-74.05044364,104,667,105,915,May
Jackson Square,40.71113,-74.0789,116,1030.5,119,1179,May
5 Corners Library,40.73496102,-74.05950308,82,1021.5,75,1015,May
Brunswick & 6th,40.72601173,-74.05038893,297,785,289,659,May
Jersey & 6th St,40.72528911,-74.04557168,288,867,286,774,May
Washington St,40.7242941,-74.0354826,684,1432.5,703,1488,May
Glenwood Ave,40.72755147,-74.07106072,129,1108,127,1434,May
Lafayette Park,40.71346383,-74.06285852,264,1487,285,1613,May
Union St,40.7182113,-74.0836394,145,1132,150,1052.5,May
City Hall,40.7177325,-74.043845,808,1079,810,1142.5,May
Essex Light Rail,40.7127742,-74.0364857,274,1111.5,278,926,May
Liberty Light Rail,40.7112423,-74.0557013,2380,2415.5,2415,2272,May
Astor Place,40.7192822,-74.07126188,247,933,241,720,May
Journal Square,40.73367,-74.0625,147,689,118,954.5,May
Lincoln Park,40.7246051,-74.07840595,482,1725,470,1815.5,May
Van Vorst Park,40.71848892,-74.04772663,600,1373.5,603,1582,May
Heights Elevator,40.74871595,-74.0404433,329,1692,328,1816,May
Jersey & 3rd,40.72333159,-74.04595256,382,704.5,385,1071,May
York St,40.71649,-74.04105,285,1351,270,964.5,May
Newport PATH,40.7272235,-74.0337589,688,1176.5,709,1285,May
Manila & 1st,40.72165072,-74.04288411,388,924,387,878,May
Dey St,40.737711,-74.066921,140,1063.5,120,1021,May
Hoboken Ave at Monmouth St,40.73520838,-74.04696375,452,1668,461,1783,May
Baldwin at Montgomery,40.7236589,-74.0641943,312,859.5,313,982,May
Warren St,40.7211236,-74.03805095,657,1078,673,1009,May
Communipaw & Berry Lane,40.71435837,-74.06661093,239,1670,244,1699,May
Grand St,40.71517768,-74.03768331,429,1326,421,1380,May
Paulus Hook,40.7141454,-74.0335519,693,1571,710,1528,May
Pershing Field,40.74267714,-74.05178863,237,1308,234,1639.5,May
Riverview Park,40.7443187,-74.0439909,163,1689,161,1616,May
Leonard Gordon Park,40.74590997,-74.05727148,71,1833,65,1447,May
Columbus Dr at Exchange Pl,40.71687,-74.03281,1589,1376,1607,1407,Jun
Heights Elevator,40.74871595,-74.0404433,508,1736,493,1939,Jun
Columbus Drive,40.7183552,-74.03891444,796,859.5,793,829,Jun
Morris Canal,40.71241882,-74.03852552,1006,1254.5,1010,1110,Jun
Harborside,40.7192517,-74.034234,1481,1121,1494,947,Jun
Grove St PATH,40.71958612,-74.04311746,1819,618,2073,603,Jun
York St,40.71649,-74.04105,377,1105,379,883,Jun
Sip Ave,40.7308971,-74.06391263,1025,557,938,463.5,Jun
Hilltop,40.7311689,-74.0575736,457,728,357,957,Jun
Oakland Ave,40.7376037,-74.0524783,195,705,150,782.5,Jun
Lincoln Park,40.7246051,-74.07840595,888,1690.5,921,1738,Jun
Glenwood Ave,40.72755147,-74.07106072,240,911,217,1280,Jun
Hamilton Park,40.72759597,-74.04424731,1694,975,1734,840.5,Jun
Newport Pkwy,40.7287448,-74.0321082,2604,1387,2618,1426.5,Jun
Baldwin at Montgomery,40.7236589,-74.0641943,546,695.5,524,791,Jun
Washington St,40.7242941,-74.0354826,933,1291,933,1336,Jun
Newark Ave,40.72152515,-74.04630454,898,767,914,654.5,Jun
Bergen Ave,40.72210379,-74.071455,310,514,311,449,Jun
Essex Light Rail,40.7127742,-74.0364857,428,1164.5,432,927.5,Jun
Christ Hospital,40.73478582,-74.05044364,171,625,155,888,Jun
Liberty Light Rail,40.7112423,-74.0557013,2589,2327,2621,2249,Jun
Brunswick St,40.7241765,-74.0506564,442,673.5,447,604,Jun
Marin Light Rail,40.71458404,-74.04281706,1459,1013,1490,1054,Jun
Monmouth and 6th,40.72568548,-74.04879034,321,603,320,538,Jun
JC Medical Center,40.71653978,-74.04963791,1223,1085,1237,1415,Jun
Van Vorst Park,40.71848892,-74.04772663,801,977,815,1003,Jun
Jersey & 6th St,40.72528911,-74.04557168,484,610,492,604.5,Jun
McGinley Square,40.72533993,-74.06762213,533,511,389,674,Jun
Paulus Hook,40.7141454,-74.0335519,1141,1503,1138,1522.5,Jun
Astor Place,40.7192822,-74.07126188,373,747,379,724,Jun
Hoboken Ave at Monmouth St,40.73520838,-74.04696375,642,1455.5,640,1647,Jun
City Hall,40.7177325,-74.043845,1061,842,1078,878,Jun
Dey St,40.737711,-74.066921,201,1100,177,852,Jun
Riverview Park,40.7443187,-74.0439909,273,1218,260,1419.5,Jun
Jersey & 3rd,40.72333159,-74.04595256,632,564,633,659,Jun
Pershing Field,40.74267714,-74.05178863,403,1214,375,1313,Jun
Journal Square,40.73367,-74.0625,199,727,171,674,Jun
Union St,40.7182113,-74.0836394,288,1619,289,1582,Jun
Manila & 1st,40.72165072,-74.04288411,521,811,521,779,Jun
Newport PATH,40.7272235,-74.0337589,1143,1020,1138,981,Jun
Warren St,40.7211236,-74.03805095,919,829,917,732,Jun
Dixon Mills,40.72163014,-74.04996783,350,460,365,455,Jun
Montgomery St,40.71942,-74.05099,403,763,403,622,Jun
Jackson Square,40.71113,-74.0789,215,1423,225,1672,Jun
5 Corners Library,40.73496102,-74.05950308,221,930,172,1061,Jun
Grand St,40.71517768,-74.03768331,632,990,645,1041,Jun
Lafayette Park,40.71346383,-74.06285852,361,1048,388,1343,Jun
Communipaw & Berry Lane,40.71435837,-74.06661093,262,1643.5,277,1468,Jun
Fairmount Ave,40.72572614,-74.07195926,279,731,263,671,Jun
Brunswick & 6th,40.72601173,-74.05038893,409,645,418,582,Jun
Leonard Gordon Park,40.74590997,-74.05727148,176,1184,163,1380,Jun
Jackson Square,40.71113,-74.0789,218,1180.5,218,1407,Jul
Hoboken Ave at Monmouth St,40.73520838,-74.04696375,555,1117,549,1217,Jul
Columbus Dr at Exchange Pl,40.71687,-74.03281,1467,992,1525,1072,Jul
Glenwood Ave,40.72755147,-74.07106072,196,658.5,193,988,Jul
Union St,40.7182113,-74.0836394,260,1378.5,264,1475,Jul
Marin Light Rail,40.71458404,-74.04281706,1612,846.5,1631,804,Jul
Hilltop,40.7311689,-74.0575736,364,704.5,300,799.5,Jul
Grove St PATH,40.71958612,-74.04311746,2210,464.5,2450,457,Jul
Jersey & 6th St,40.72528911,-74.04557168,564,379,563,443,Jul
Harborside,40.7192517,-74.034234,1423,898,1422,818,Jul
Lincoln Park,40.7246051,-74.07840595,907,1471,940,1536,Jul
Sip Ave,40.7308971,-74.06391263,1433,524,1262,454,Jul
Lafayette Park,40.71346383,-74.06285852,509,1064,535,1118,Jul
Dixon Mills,40.72163014,-74.04996783,485,424,483,452,Jul
Oakland Ave,40.7376037,-74.0524783,297,804,200,1012,Jul
Montgomery St,40.71942,-74.05099,418,669.5,414,565.5,Jul
Hamilton Park,40.72759597,-74.04424731,1761,674,1776,625.5,Jul
Leonard Gordon Park,40.74590997,-74.05727148,153,929,148,1178,Jul
Fairmount Ave,40.72572614,-74.07195926,320,625,272,509,Jul
Newport Pkwy,40.7287448,-74.0321082,2679,1204,2694,1282.5,Jul
Morris Canal,40.71241882,-74.03852552,1079,1045,1089,946,Jul
Bergen Ave,40.72210379,-74.071455,392,472,372,448,Jul
Baldwin at Montgomery,40.7236589,-74.0641943,573,663,571,712,Jul
JC Medical Center,40.71653978,-74.04963791,1398,983,1427,1159,Jul
Warren St,40.7211236,-74.03805095,1030,667,1037,642,Jul
Riverview Park,40.7443187,-74.0439909,199,1080,198,1236,Jul
Van Vorst Park,40.71848892,-74.04772663,804,649,829,669,Jul
Essex Light Rail,40.7127742,-74.0364857,535,672,557,738,Jul
Newark Ave,40.72152515,-74.04630454,968,597,970,529,Jul
Washington St,40.7242941,-74.0354826,988,1176,986,1005.5,Jul
Pershing Field,40.74267714,-74.05178863,371,1182,367,1277,Jul
Jersey & 3rd,40.72333159,-74.04595256,622,424.5,629,473,Jul
Columbus Drive,40.7183552,-74.03891444,815,831,802,783,Jul
York St,40.71649,-74.04105,391,623,390,693,Jul
Monmouth and 6th,40.72568548,-74.04879034,350,465.5,357,444,Jul
Heights Elevator,40.74871595,-74.0404433,369,1390,357,1559,Jul
Liberty Light Rail,40.7112423,-74.0557013,2322,1921.5,2346,1928.5,Jul
Dey St,40.737711,-74.066921,175,1101,172,925,Jul
City Hall,40.7177325,-74.043845,1106,727.5,1176,592.5,Jul
McGinley Square,40.72533993,-74.06762213,582,416,400,393.5,Jul
Paulus Hook,40.7141454,-74.0335519,1069,1268,1078,1280,Jul
Brunswick St,40.7241765,-74.0506564,497,634,507,534,Jul
Grand St,40.71517768,-74.03768331,499,714,513,790,Jul
Communipaw & Berry Lane,40.71435837,-74.06661093,298,1346.5,310,1187,Jul
Astor Place,40.7192822,-74.07126188,411,599,393,596,Jul
Christ Hospital,40.73478582,-74.05044364,139,621,115,603,Jul
Brunswick & 6th,40.72601173,-74.05038893,441,539,445,487,Jul
Newport PATH,40.7272235,-74.0337589,1417,891,1418,824,Jul
Manila & 1st,40.72165072,-74.04288411,555,576,554,599,Jul
5 Corners Library,40.73496102,-74.05950308,195,894,197,1006,Jul
Journal Square,40.73367,-74.0625,258,672,246,781,Jul
City Hall,40.7177325,-74.043845,1112,606,1185,577,Aug
